compound_id,canonical_smiles,measured_solubility_logs,molecular_weight,logp,tpsa,hbd,hba,rotatable_bonds,ring_count,heavy_atom_count,num_aromatic_rings,num_aliphatic_rings,num_heteroatoms,fraction_csp3,molar_refractivity,ro5_violations,ro5_compliant
1-Pentene ,C=CCCC,-2.68,70.135,1.9725,0.0,0,0,2,0,5,0,0,0,0.6,25.105,0,True
Primidone,CCC1(c2ccccc2)C(=O)NCNC1=O,-2.64,218.256,0.5379,58.2,2,2,2,2,16,1,1,4,0.3333,59.5634,0,True
Tetradecane,CCCCCCCCCCCCCC,-7.96,198.394,5.7074,0.0,0,0,11,0,14,0,0,0,1.0,66.752,1,True
2-Chloropropane,CC(C)Cl,-1.41,78.542,1.6336,0.0,0,0,0,0,4,0,0,1,1.0,20.989,0,True
2-Methylbutanol,CCC(C)CO,-0.47,88.15,1.0248,20.23,1,1,2,0,6,0,0,1,1.0,26.5408,0,True
Benzonitrile,N#Cc1ccccc1,-1.0,103.124,1.5583,23.79,0,1,0,1,8,1,0,1,0.0,31.157,0,True
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,-3.64,304.352,3.5847,53.47,0,6,7,1,19,1,0,7,0.6667,79.023,0,True
2-Undecanol,CCCCCCCCCC(C)O,-2.94,172.312,3.5079,20.23,1,1,8,0,12,0,0,1,1.0,54.2908,0,True
"2,2',3,4,6-PCB",Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,-7.43,326.437,6.6206,0.0,0,0,1,2,17,2,0,5,0.0,76.928,1,True
Lenacil,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,-4.593999999999999,234.299,1.5305,54.86,1,2,1,3,17,1,2,4,0.6923,65.4697,0,True
Phorate,CCOP(=S)(OCC)SCSCC,-4.11,260.386,3.7277,18.46,0,5,8,0,13,0,0,6,1.0,68.127,0,True
Phenacetin,CCOc1ccc(NC(C)=O)cc1,-2.35,179.219,2.0437,38.33,1,2,3,1,13,1,0,3,0.3,51.9147,0,True
Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],-5.47,322.243,2.9502,115.54,1,6,5,1,22,1,0,11,0.4545,72.7262,0,True
1-Heptanol,CCCCCCCO,-1.81,116.204,1.9491,20.23,1,1,5,0,8,0,0,1,1.0,35.8448,0,True
Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-1.39,180.167,-1.0397,72.68,1,3,0,2,13,2,0,6,0.2857,46.5757,0,True
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,212.249,0.939,75.27,2,3,4,1,15,0,1,5,0.7,53.9304,0,True
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-6.9,318.03,6.1879,0.0,0,0,2,2,18,2,0,4,0.0,80.632,1,True
Methyl octanoate,CCCCCCCC(=O)OC,-3.17,158.241,2.5199,26.3,0,2,6,0,11,0,0,2,0.8889,45.392,0,True
"1,4-Diethylbenzene ",CCc1ccc(CC)cc1,-3.75,134.222,2.8114,0.0,0,0,2,1,10,1,0,0,0.4,45.198,0,True
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,288.44,4.5063,18.46,0,5,7,0,15,0,0,6,1.0,77.339,0,True
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,300.314,3.7842,76.66,2,4,3,2,22,2,0,6,0.125,83.2954,0,True
"1,1-Dichloroethylene",C=C(Cl)Cl,-1.64,96.944,1.9352,0.0,0,0,0,0,4,0,0,2,0.0,20.846,0,True
1-Methylfluorene,Cc1cccc2c1Cc1ccccc1-2,-5.22,180.25,3.5662,0.0,0,0,0,3,14,2,1,0,0.1429,59.421,0,True
Valeraldehyde,CCCCC=O,-0.85,86.134,1.3755,17.07,0,1,3,0,6,0,0,1,0.8,25.589,0,True
Diphenylamine,c1ccc(Nc2ccccc2)cc1,-3.504,169.227,3.4302,12.03,1,1,2,2,13,2,0,1,0.0,56.1667,0,True
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,-3.927,253.367,3.2604,29.54,0,3,6,1,17,1,0,4,0.4615,72.712,0,True
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,353.49,4.1983,38.77,0,5,9,1,21,0,1,7,0.9286,94.255,0,True
1-Iodoheptane,CCCCCCCI,-4.81,226.101,3.3918,0.0,0,0,5,0,8,0,0,1,1.0,47.646,0,True
3-Chlorobiphenyl,Clc1cccc(-c2ccccc2)c1,-4.88,188.657,4.007,0.0,0,0,1,2,13,2,0,1,0.0,56.888,0,True
4-Pentene-1-ol,C=CCCCO,-0.15,86.134,0.9449,20.23,1,1,3,0,6,0,0,1,0.6,26.5168,0,True
Cyclobutyl-5-spirobarbituric acid,O=C1NC(=O)C2(CCC2)C(=O)N1,-1.655,168.152,-0.4773,75.27,2,3,0,2,12,0,2,5,0.5714,37.9654,0,True
menthol,CC1CCC(C(C)C)C(O)C1,-2.53,156.269,2.4395,20.23,1,1,1,1,11,0,1,1,1.0,47.3498,0,True
Isopropyl formate,CC(C)OC=O,-0.63,88.106,0.5678,26.3,0,2,2,0,6,0,0,2,0.75,22.285,0,True
2-Heptanol ,CCCCCC(C)O,-1.55,116.204,1.9475,20.23,1,1,4,0,8,0,0,1,1.0,35.8228,0,True
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1,-3.083,214.062,2.4075,29.1,1,1,1,1,11,1,0,3,0.125,48.4457,0,True
brompyrazone,Nc1cnn(-c2ccccc2)c(=O)c1Br,-3.127,266.098,1.5772,60.91,1,3,1,2,15,2,0,5,0.0,61.9464,0,True
nifedipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-4.76,346.339,2.1756,107.77,1,7,4,2,25,1,1,8,0.2941,88.4051,0,True
"2,7-dimethylquinoline",Cc1ccc2ccc(C)nc2c1,-1.94,157.216,2.8516,12.89,0,1,0,2,12,2,0,1,0.1818,51.217,0,True
1-Octyne ,C#CCCCCCC,-3.66,110.2,2.59,0.0,0,0,4,0,8,0,0,0,0.75,37.592,0,True
cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17,236.271,1.2492,75.27,2,3,2,2,17,0,2,5,0.5833,60.9564,0,True
Chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,-8.057,228.294,5.1462,0.0,0,0,0,4,18,4,0,0,0.0,78.96,1,True
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,-2.523,261.119,1.5785,54.86,1,2,2,1,14,1,0,5,0.5556,58.7617,0,True
"2,2',3,3',5,6-PCB",Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-8.6,360.882,7.274,0.0,0,0,1,2,18,2,0,6,0.0,81.938,1,True
2-Methylphenol,Cc1ccccc1O,-0.62,108.14,1.7006,20.23,1,1,0,1,8,1,0,1,0.1429,32.8438,0,True
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C,-5.05,128.259,3.4687,0.0,0,0,2,0,9,0,0,0,1.0,43.527,0,True
"1,4-Dimethylnaphthalene ",Cc1ccc(C)c2ccccc12,-4.14,156.228,3.4566,0.0,0,0,0,2,12,2,0,0,0.1667,53.422,0,True
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,-6.57,242.321,5.4546,0.0,0,0,0,4,19,4,0,0,0.0526,83.697,1,True
2-Pentanone,CCCC(C)=O,-0.19,86.134,1.3755,17.07,0,1,2,0,6,0,0,1,0.8,25.589,0,True
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.15,429.772,8.5808,0.0,0,0,1,2,20,2,0,8,0.0,91.958,1,True
Methyl butyrate,CCCOC(=O)CC,-0.82,116.16,1.3496,26.3,0,2,3,0,8,0,0,2,0.8333,31.541,0,True
Triamcinolone,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,394.439,0.6205,115.06,4,6,2,4,28,0,4,7,0.7143,96.7872,0,True
p-Aminophenol,Nc1ccc(O)cc1,-0.8,109.128,0.9744,46.25,2,2,0,1,8,1,0,2,0.0,32.5192,0,True
Benznidazole,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81,260.253,1.1077,90.06,1,4,5,2,19,2,0,7,0.1667,67.1701,0,True
"Atovaquone(0,430mg/ml) - neutral",O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,-5.931,366.844,5.5051,54.37,1,3,2,4,26,2,2,4,0.2727,100.9088,1,True
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06,229.715,1.803,53.94,1,5,5,1,15,1,0,6,0.6667,62.5617,0,True
Pyrazinamide,NC(=O)c1cnccn1,-0.667,123.115,-0.4245,68.87,1,3,1,1,9,1,0,4,0.0,30.5499,0,True
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O,-2.68,237.097,1.135,72.19,2,2,3,0,12,0,0,5,0.7143,49.9661,0,True
"2,2'-PCB",Clc1ccccc1-c1ccccc1Cl,-5.27,223.102,4.6604,0.0,0,0,1,2,14,2,0,2,0.0,61.898,0,True
nitrofurantoin,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38,238.159,0.0735,118.05,1,6,3,2,17,1,1,9,0.125,53.2011,0,True
Nitrofen,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,-5.46,284.098,4.6939,52.37,0,3,3,2,18,2,0,6,0.0,69.6324,0,True
Camphor,CC12CCC(CC1=O)C2(C)C,-1.96,152.237,2.4017,17.07,0,1,0,2,11,0,2,1,0.9,44.236,0,True
5-Allyl-5-phenylbarbital,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.369,244.25,0.8665,75.27,2,3,3,2,18,1,1,5,0.1538,64.6154,0,True
Pentyl propanoate,CCCCC(=O)OCC,-2.25,130.187,1.7397,26.3,0,2,4,0,9,0,0,2,0.8571,36.158,0,True
Isopentyl acetate,CC(=O)OCCC(C)C,-1.92,130.187,1.5956,26.3,0,2,3,0,9,0,0,2,0.8571,36.088,0,True
3-Hexanoyloxymethylphenyltoin,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-5.886,380.444,3.563,75.71,1,4,8,3,28,2,1,6,0.3182,104.1427,0,True
"2,3',5-PCB",Clc1cccc(-c2cc(Cl)ccc2Cl)c1,-6.01,257.547,5.3138,0.0,0,0,1,2,15,2,0,3,0.0,66.908,1,True
1-Bromopropane,CCCBr,-1.73,122.993,1.7913,0.0,0,0,1,0,4,0,0,1,1.0,24.085,0,True
Propiconazole,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-3.4930000000000003,342.226,3.6534,49.17,0,4,5,3,22,2,1,7,0.4667,83.895,0,True
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,257.273,0.8517,55.84,0,6,6,0,14,0,0,8,0.6667,59.595,0,True
4-methylpteridine,Cc1ncnc2nccnc12,-0.466,146.153,0.7282,51.56,0,4,0,2,11,2,0,4,0.1429,39.865,0,True
Thiourea,NC(N)=S,0.32,76.124,-0.8113,52.04,2,1,0,0,4,0,0,3,0.0,20.9728,0,True
p-Xylene ,Cc1ccc(C)cc1,-2.77,106.168,2.3034,0.0,0,0,0,1,8,1,0,0,0.25,35.916,0,True
"1,2-Diethylbenzene",CCc1ccccc1CC,-3.28,134.222,2.8114,0.0,0,0,2,1,10,1,0,0,0.4,45.198,0,True
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,236.74,3.7268,0.0,0,0,0,0,8,0,0,6,1.0,40.58,0,True
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,-6.876,451.469,6.628,68.55,0,5,9,3,33,3,0,7,0.2308,118.057,1,True
1-Nitropropane,CCC[N+](=O)[O-],-0.8,89.094,0.6731,43.14,0,2,2,0,6,0,0,3,1.0,22.1524,0,True
Menthone,CC1CCC(C(C)C)C(=O)C1,-2.35,154.253,2.6477,17.07,0,1,1,1,11,0,1,1,0.9,46.35,0,True
RTI 24,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21,-5.36,273.723,3.4587,45.23,1,3,1,3,19,2,1,5,0.1429,76.3222,0,True
"2,3-Dichloronitrobenzene",O=[N+]([O-])c1cccc(Cl)c1Cl,-3.48,192.001,2.9016,43.14,0,2,1,1,11,1,0,5,0.0,43.1164,0,True
thiamylal,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,254.355,1.516,58.2,2,3,5,1,17,0,1,5,0.5833,70.2024,0,True
Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,-6.0,202.256,4.4872,0.0,0,0,0,4,16,3,1,0,0.0,68.378,0,True
Propylisopropylether,CCCOC(C)C,-1.34,102.177,1.8214,9.23,0,1,3,0,7,0,0,1,1.0,31.379,0,True
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1,-4.29,156.228,3.4566,0.0,0,0,0,2,12,2,0,0,0.1667,53.422,0,True
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.07,268.356,4.8286,40.46,2,2,4,2,20,2,0,2,0.2222,83.6096,0,True
Chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64,265.914,4.0436,47.58,0,2,0,1,14,1,0,6,0.0,55.912,0,True
"2,3',4',5-PCB",Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-7.25,291.992,5.9672,0.0,0,0,1,2,16,2,0,4,0.0,71.918,1,True
styrene oxide,c1ccc(C2CO2)cc1,-1.6,120.151,1.7579,12.53,0,1,1,2,9,1,1,1,0.25,35.135,0,True
Isopropylbenzene ,CC(C)c1ccccc1,-3.27,120.195,2.81,0.0,0,0,1,1,9,1,0,0,0.3333,40.531,0,True
Deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,330.468,3.6959,54.37,1,3,2,4,24,0,4,3,0.8095,92.2928,0,True
chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl,-5.43,267.93,4.2434,25.78,0,2,0,2,14,2,0,6,0.0,59.578,0,True
L-arabinose,OC1COC(O)C(O)C1O,0.39,150.13,-2.5823,90.15,4,5,0,1,10,0,1,5,1.0,29.9792,0,True
Dichloromethane,ClCCl,-0.63,84.933,1.4215,0.0,0,0,0,0,3,0,0,2,1.0,16.573,0,True
1-Ethylnaphthalene ,CCc1cccc2ccccc12,-4.17,156.228,3.4022,0.0,0,0,1,2,12,2,0,0,0.1667,53.326,0,True
Methyl formate,COC=O,0.58,60.052,-0.2108,26.3,0,2,1,0,4,0,0,2,0.5,13.073,0,True
o-Nitrophenol,O=[N+]([O-])c1ccccc1O,-1.74,139.11,1.3004,63.37,1,3,1,1,10,1,0,4,0.0,34.7612,0,True
thymine,Cc1c[nH]c(=O)[nH]c1=O,-1.506,126.115,-0.6284,65.72,2,2,0,1,9,1,0,4,0.2,32.4204,0,True
2-Methylpropane,CC(C)C,-2.55,58.124,1.6623,0.0,0,0,0,0,4,0,0,0,1.0,20.512,0,True
Inosine,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-1.23,268.229,-1.8566,133.75,4,8,2,3,19,2,1,9,0.5,59.9972,0,True
Ioxynil,N#Cc1cc(I)c(O)c(I)c1,-3.61,370.915,2.4731,44.02,1,2,0,1,11,1,0,4,0.0,58.2558,0,True
Niclosamide,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.7,327.123,3.8595,92.47,2,4,3,2,21,2,0,8,0.0,79.1764,0,True
Pentane,CCCCC,-3.18,72.151,2.1965,0.0,0,0,2,0,5,0,0,0,1.0,25.199,0,True
Phenol,Oc1ccccc1,0.0,94.113,1.3922,20.23,1,1,0,1,7,1,0,1,0.0,28.1068,0,True
2-aminoanthracene,Nc1ccc2cc3ccccc3cc2c1,-5.17,193.249,3.5752,26.02,1,1,0,3,15,3,0,1,0.0,65.8664,0,True
theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-2.523,180.167,-1.0397,72.68,1,3,0,2,13,2,0,6,0.2857,46.5757,0,True
Isoquinoline,c1ccc2cnccc2c1,-1.45,129.162,2.2348,12.89,0,1,0,2,10,2,0,1,0.0,41.743,0,True
Anilofos,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,-4.432,367.86,4.3319,38.77,0,5,7,1,21,1,0,8,0.4615,94.835,0,True
Hexylbenzene ,CCCCCCc1ccccc1,-5.21,162.276,3.8094,0.0,0,0,5,1,12,1,0,0,0.5,54.288,0,True
2-Chlorobiphenyl,Clc1ccccc1-c1ccccc1,-4.54,188.657,4.007,0.0,0,0,1,2,13,2,0,1,0.0,56.888,0,True
2-Methyl-1-Pentene,C=C(C)CCC,-3.03,84.162,2.3626,0.0,0,0,2,0,6,0,0,0,0.6667,29.722,0,True
"2,3,4-Trimethylpentane",CC(C)C(C)C(C)C,-4.8,114.232,2.9345,0.0,0,0,2,0,8,0,0,0,1.0,38.84,0,True
Pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,250.339,4.9536,0.0,0,0,0,1,11,1,0,5,0.0,51.492,0,True
m-Nitrophenol,O=[N+]([O-])c1cccc(O)c1,-1.01,139.11,1.3004,63.37,1,3,1,1,10,1,0,4,0.0,34.7612,0,True
1-Decene,C=CCCCCCCCC,-5.51,140.27,3.923,0.0,0,0,7,0,10,0,0,0,0.8,48.19,0,True
Glyceryl triacetate,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,218.205,0.0443,78.9,0,6,5,0,15,0,0,6,0.6667,48.82,0,True
dimethirimol,CCCCc1c(C)nc(N(C)C)nc1O,-2.24,209.293,1.8992,49.25,1,4,4,1,15,1,0,4,0.6364,61.3728,0,True
Cyfluthrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,-7.337000000000001,434.294,6.3171,59.32,0,4,6,3,29,2,1,7,0.2727,107.912,1,True
Pyridine,c1ccncc1,0.76,79.102,1.0816,12.89,0,1,0,1,6,1,0,1,0.0,24.237,0,True
1-Bromoheptane,CCCCCCCBr,-4.43,179.101,3.3517,0.0,0,0,5,0,8,0,0,1,1.0,42.553,0,True
"3,4-Dimethylpyridine",Cc1ccncc1C,0.36,107.156,1.6984,12.89,0,1,0,1,8,1,0,1,0.2857,33.711,0,True
Fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,380.456,1.8737,94.83,3,5,2,4,27,0,4,6,0.8095,95.4914,0,True
ethiofencarb,CCSCc1ccccc1OC(=O)NC,-2.09,225.313,2.6579,38.33,1,3,4,1,15,1,0,4,0.3636,63.3617,0,True
Malonic acid diethylester,CCOC(=O)CC(=O)OCC,-0.82,160.169,0.5027,52.6,0,4,4,0,11,0,0,4,0.7143,37.883,0,True
d-Limonene,C=C(C)C1CC=C(C)CC1,-4.26,136.238,3.3089,0.0,0,0,1,1,10,0,1,0,0.6,45.912,0,True
Indan,c1ccc2c(c1)CCC2,-3.04,118.179,2.1753,0.0,0,0,0,2,9,1,1,0,0.3333,38.467,0,True
p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,-2.41,150.221,2.6897,20.23,1,1,0,1,11,1,0,1,0.4,46.8068,0,True
Cyclopropyl-5-spirobarbituric acid,O=C1NC(=O)C2(CC2)C(=O)N1,-1.886,154.125,-0.8674,75.27,2,3,0,2,11,0,2,5,0.5,33.3484,0,True
m-Chloroiodobenzene,Clc1cccc(I)c1,-3.55,238.455,2.9446,0.0,0,0,0,1,8,1,0,2,0.0,44.169,0,True
1-Bromonapthalene,Brc1cccc2ccccc12,-4.35,207.07,3.6023,0.0,0,0,0,2,11,2,0,1,0.0,51.648,0,True
trans-2-Pentene ,C/C=C/CC,-2.54,70.135,1.9725,0.0,0,0,1,0,5,0,0,0,0.6,25.105,0,True
"2,6-Dimethylpyridine",Cc1cccc(C)n1,0.45,107.156,1.6984,12.89,0,1,0,1,8,1,0,1,0.2857,33.711,0,True
Trichloroethylene,ClC=C(Cl)Cl,-1.96,131.389,2.5017,0.0,0,0,0,0,5,0,0,3,0.0,25.642,0,True
1-Napthylamine,Nc1cccc2ccccc12,-1.92,143.189,2.422,26.02,1,1,0,2,11,2,0,1,0.0,48.3604,0,True
m-Xylene ,Cc1cccc(C)c1,-2.82,106.168,2.3034,0.0,0,0,0,1,8,1,0,0,0.25,35.916,0,True
2-hydroxypteridine,Oc1ncc2nccnc2n1,-1.947,148.125,0.1254,71.79,1,5,0,2,11,2,0,5,0.0,36.7928,0,True
Methanol,CO,1.57,32.042,-0.3915,20.23,1,1,0,0,2,0,0,1,1.0,8.1428,0,True
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,226.276,1.185,75.27,2,3,4,1,16,0,1,5,0.7273,58.4774,0,True
2-Butanone,CCC(C)=O,0.52,72.107,0.9854,17.07,0,1,1,0,5,0,0,1,0.75,20.972,0,True
5-fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,-1.077,130.078,-0.7977,65.72,2,2,0,1,9,1,0,5,0.0,27.6414,0,True
tubercidin,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,-1.95,266.257,-1.375,126.65,4,7,2,3,19,2,1,8,0.4545,64.9498,0,True
"1,3-Benzenediol",Oc1cccc(O)c1,0.81,110.112,1.0978,40.46,2,2,0,1,8,1,0,2,0.0,29.7716,0,True
1-Hexanol,CCCCCCO,-1.24,102.177,1.559,20.23,1,1,4,0,7,0,0,1,1.0,31.2278,0,True
1-Chloropentane,CCCCCCl,-2.73,106.596,2.4154,0.0,0,0,3,0,6,0,0,1,1.0,30.245,0,True
"1,3-Butadiene",C=CC=C,-1.87,54.092,1.3584,0.0,0,0,1,0,4,0,0,0,0.0,20.394,0,True
Propyl acetate,CCCOC(C)=O,-0.72,102.133,0.9595,26.3,0,2,2,0,7,0,0,2,0.8,26.924,0,True
"5,6,7,8-tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2,-1.99,148.205,2.271,20.23,1,1,0,2,11,1,1,1,0.4,44.7488,0,True
chloroacetamide,NC(=O)CCl,-0.02,93.513,-0.2895,43.09,1,1,1,0,5,0,0,3,0.5,19.9144,0,True
Iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,413.0,4.4941,27.69,0,4,4,1,16,1,0,8,0.25,78.11,0,True
4-Chlorotoluene,Cc1ccc(Cl)cc1,-3.08,126.586,2.6484,0.0,0,0,0,1,8,1,0,1,0.1429,36.189,0,True
Metribuzin,CSc1nnc(C(C)(C)C)c(=O)n1N,-2.253,214.294,0.3715,73.8,1,5,1,1,14,1,0,6,0.625,56.9234,0,True
Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc2ccccc2C)cc1,-6.01,368.369,6.2568,44.76,0,4,6,3,26,3,0,5,0.1429,103.0275,1,True
Caproaldehyde,CCCCCC=O,-1.3,100.161,1.7656,17.07,0,1,4,0,7,0,0,1,0.8333,30.206,0,True
Butamben,CCCCOC(=O)c1ccc(N)cc1,-3.082,193.246,2.2257,52.32,1,3,4,1,14,1,0,3,0.3636,56.0449,0,True
RTI 3,Cc1ccc2c(c1)Oc1ncc(N)cc1C(=O)N2C,-3.043,255.277,2.3545,68.45,1,4,0,3,19,2,1,5,0.1429,72.6359,0,True
Nerol,CC(C)=CCC/C(C)=C\CO,-2.46,154.253,2.6714,20.23,1,1,4,0,11,0,0,1,0.6,49.5078,0,True
"2,4'-PCB",Clc1ccc(-c2ccccc2Cl)cc1,-5.28,223.102,4.6604,0.0,0,0,1,2,14,2,0,2,0.0,61.898,0,True
3-Octanoyloxymethylphenytoin,CCCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-6.523,408.498,4.3432,75.71,1,4,10,3,30,2,1,6,0.375,113.3767,0,True
Nitroethane,CC[N+](=O)[O-],-0.22,75.067,0.283,43.14,0,2,1,0,5,0,0,3,1.0,17.5354,0,True
Ethalfluralin,C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-6.124,333.266,3.9242,89.52,0,5,6,1,23,1,0,10,0.3846,77.4538,0,True
"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,-4.57,215.894,4.3002,0.0,0,0,0,1,10,1,0,4,0.0,46.482,0,True
Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,-1.807,218.253,0.9834,104.64,2,4,6,0,15,0,0,6,0.7778,54.0858,0,True
pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65,316.485,4.5153,37.3,1,2,1,4,23,0,4,2,0.8571,91.8808,0,True
Iodomethane,CI,-1.0,141.939,1.0512,0.0,0,0,0,0,2,0,0,1,1.0,19.944,0,True
