compound_id,canonical_smiles,heavy_atom_count,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,polarizability_bohr3,heat_capacity_cv
QM9_00122,Cc1cc(=N)[nH]nc1F,9,-5.7715,-1.5021,4.2695,1.0204,73.98,29.627
QM9_00123,C#Cc1cnnoc1=O,9,-7.7063,-3.3905,4.3157,4.3477,71.62,26.859
QM9_00124,COC1CC(=O)CC1=O,9,-6.5117,-1.2735,5.2382,1.8747,69.35,31.84
QM9_00125,CN1CC(OCC=O)C1,9,-6.0192,-0.8245,5.1947,2.2613,78.0,34.265
QM9_00126,CC(=O)C1C2CN=CN21,9,-6.5144,-0.8517,5.6627,4.0122,72.72,29.757
QM9_00127,CCC(=O)C(=O)C1CO1,9,-6.6586,-2.5497,4.1116,1.6914,70.54,32.966
QM9_00128,CC1C2C=CC1C2=O,8,-6.6641,0.0898,6.7511,2.534,69.53,26.581
QM9_00129,N#CC1CC=CC1CO,9,-6.9824,0.2041,7.1865,2.8366,77.07,32.069
QM9_00130,CN1C2C3CC2C31C,8,-5.6436,2.5824,8.2233,1.0578,75.85,29.25
QM9_00131,NC(=O)C12CC(O)(C1)C2,9,-6.5988,0.7102,7.3117,2.1401,73.12,33.42
QM9_00132,OCC1CC(=NO)C1,8,-6.5389,0.2259,6.7675,1.7717,68.98,31.014
QM9_00133,COCCN(C=O)C=O,9,-6.7049,-0.8327,5.8695,6.4161,71.72,33.851
QM9_00134,CC1(O)C=CNC1=O,8,-6.1307,-0.5497,5.5811,4.0815,62.52,29.246
QM9_00135,C#CC1(O)CN(CC)C1,9,-5.8151,0.8653,6.6831,1.6324,83.11,36.872
QM9_00136,CCC12CC1CC21CO1,9,-6.6967,2.4136,9.1104,1.568,82.53,33.916
QM9_00137,O=CN1CC2CC(O)C21,9,-6.7566,0.4082,7.1648,3.555,73.73,30.438
QM9_00138,Cn1ccc(N)c1CO,9,-4.83,0.9089,5.7389,1.3067,81.12,35.277
QM9_00139,C#CC1(O)C2OC(=N)C21,9,-6.8083,-0.3157,6.4954,2.4207,71.75,30.49
QM9_00140,CC12CC3(C#N)C1NC23,9,-6.7756,0.3864,7.162,3.5731,78.69,29.798
QM9_00141,C#CC#Cc1ccon1,9,-6.7784,-1.6272,5.1511,2.9048,89.39,27.449
QM9_00142,N#CCNc1ncno1,9,-6.9852,-0.351,6.6341,1.9098,65.6,26.888
QM9_00143,OC1C2CC3OCC2C31,9,-6.3974,1.9701,8.3648,2.7592,73.33,28.273
QM9_00144,CCC1(O)C2COC21,8,-6.1307,1.7796,7.9103,0.5803,67.27,30.494
QM9_00145,N#CC1OCC2CC21N,9,-6.8246,0.4218,7.2464,5.1262,71.99,30.914
QM9_00146,CC1C2CCC1(C=O)C2,9,-6.6178,-0.5905,6.0273,2.8179,82.73,32.721
QM9_00147,C1CC2(O1)C1CC3C1C32,9,-6.245,2.4436,8.6886,1.4086,78.14,28.529
QM9_00148,COCCCOC(C)C,9,-6.7103,2.3075,9.0179,1.9243,88.42,41.392
QM9_00149,O=C1NC2CC3CN1C32,9,-6.3484,0.8572,7.2083,4.5592,70.49,26.277
QM9_00150,C#CC1C2CC(C=O)C12,9,-6.4056,-0.615,5.7906,3.0949,78.65,31.442
QM9_00151,CC1(C2(C=O)CC2)CO1,9,-6.9035,-0.7565,6.1471,2.0166,75.59,34.088
QM9_00152,CN=C1OCC1C(C)C,9,-6.7158,0.8735,7.5865,1.9374,85.76,36.946
QM9_00153,CCCc1onnc1N,9,-6.1552,-0.7919,5.3606,4.0579,76.01,33.06
QM9_00154,Cc1occc1[N+](=O)[O-],9,-6.8355,-2.0191,4.8164,3.9218,68.74,27.726
QM9_00155,O=COc1ccco1,8,-6.3892,-0.3891,6.0028,3.6474,57.93,23.451
QM9_00156,OC1CC2CCCC2C1,9,-6.958,1.8994,8.8573,1.4513,84.54,33.319
QM9_00157,COCC(C)CC(C)=O,9,-6.6532,-0.2721,6.3811,3.3781,84.01,39.978
QM9_00158,C#CCCC#CC1CC1,9,-6.3266,1.1674,7.4913,0.9659,94.24,35.621
QM9_00159,N#CC12CC(N1)C2N,8,-6.7511,0.1823,6.9335,3.6301,67.4,26.799
QM9_00160,CCN1C(=O)C=CC1=O,9,-7.2899,-2.5089,4.781,1.0189,72.12,29.981
QM9_00161,C1=CCC2OCC2C1,8,-6.5035,0.498,7.0015,1.6631,71.47,26.266
QM9_00162,COC(C)CCCCO,9,-6.7729,2.2531,9.0233,1.8511,87.13,41.823
QM9_00163,CC1CNC(=O)C(C)C1,9,-6.3756,0.8381,7.2137,3.751,82.9,35.491
QM9_00164,N#Cc1oc(=O)oc1N,9,-6.5443,-1.0041,5.5402,5.1518,62.23,27.047
QM9_00165,O=C1CNCC1N1CC1,9,-6.0056,-0.6231,5.3824,2.6156,75.86,31.209
QM9_00166,CC(OC(N)=O)C1CN1,9,-6.6287,1.3606,7.9893,2.1283,71.9,35.073
QM9_00167,CC(=O)CC1OCC1O,9,-6.5144,-0.1823,6.3321,3.678,72.55,34.715
QM9_00168,CCNC1=NCC(=O)N1,9,-6.1579,0.2503,6.411,4.3197,76.1,32.751
QM9_00169,CCC(=O)C(C)C1CN1,9,-6.4164,-0.3728,6.0436,3.0598,82.86,37.572
QM9_00170,COC1C2CC(C)CC21,9,-6.4437,2.147,8.5906,1.0275,85.38,35.203
QM9_00171,C#CCC(C)COC,8,-6.9389,1.483,8.4192,1.3949,78.27,35.484
QM9_00172,C#CC(=O)C1NC1C#N,9,-7.5675,-2.2232,5.3443,6.9153,71.96,29.884
QM9_00173,O=CCCC(O)CCO,9,-6.7539,-0.498,6.2559,3.2891,77.45,38.337
QM9_00174,O=C1OC2CC=CC12,8,-6.8981,-0.1769,6.7212,4.1015,61.93,23.084
QM9_00175,COC1(C)C=CCC1,8,-6.5906,0.4435,7.0341,0.9574,76.58,32.128
QM9_00176,N=C1OCCC2CC1C2,9,-6.8382,0.5905,7.4287,3.2057,80.01,30.011
QM9_00177,CC1=C2COC2C(=O)N1,9,-5.9103,-0.7129,5.1974,4.5507,73.36,29.259
QM9_00178,Cc1c[nH]cc1C(C)C,9,-5.3171,1.4721,6.7865,1.6227,89.04,37.215
QM9_00179,N#CC1(O)CC(=NO)C1,9,-7.1049,-0.4844,6.6205,2.733,70.35,32.41
QM9_00180,O=C(CO)N1CC=CC1,9,-6.6586,0.0299,6.6886,4.7803,74.56,31.279
QM9_00181,C#CC1N=CNCC1=O,9,-6.226,-0.8925,5.3362,4.1598,72.42,30.297
QM9_00182,CC12NC1C1(CO)OC21,9,-6.0328,1.5456,7.5784,3.2413,71.99,32.572
QM9_00183,O=CC12CC(=O)NC1C2,9,-6.8137,-0.868,5.9457,4.5281,70.54,29.3
QM9_00184,CCC1=CCC(=O)CC1,9,-6.3511,-0.2803,6.0709,3.0057,85.53,34.224
QM9_00185,N#CCc1cnccn1,9,-7.1294,-1.7905,5.3389,3.7468,73.97,26.346
QM9_00186,CC1(O)CN=C(N)C1=O,9,-6.6069,-1.7497,4.8572,1.159,70.83,33.829
QM9_00187,CC(O)CC1NC1C#N,9,-7.0151,0.117,7.1321,5.1974,77.25,34.594
QM9_00188,CCn1nnc(N)c1N,9,-5.6273,0.5388,6.1661,3.9279,75.54,33.811
QM9_00189,CC(=O)COCCCO,9,-6.6477,-0.264,6.3838,4.7542,77.78,38.264
QM9_00190,O=C1CC2CCC2C1,8,-6.4083,-0.3674,6.0409,2.8858,70.39,27.008
QM9_00191,CC1OC2CC12C1CC1,9,-6.0817,2.3239,8.4056,1.8028,82.22,33.628
QM9_00192,CCC(C)(CO)C(C)=O,9,-6.4736,-0.264,6.2069,1.3527,81.33,41.468
QM9_00193,CC1C=CCC1C#N,8,-7.0369,0.1687,7.2029,3.9913,73.1,28.429
QM9_00194,O=CCC(=O)CC1CO1,9,-6.8899,-1.1048,5.7851,2.5584,71.0,32.331
QM9_00195,CC1(CO)CC1NC=O,9,-6.6804,0.7157,7.3961,2.4532,76.44,36.619
QM9_00196,N=C(N)c1onnc1N,9,-5.9348,-1.4504,4.4844,3.918,70.03,30.392
QM9_00197,CN=C(C)OC1(C)CC1,9,-6.5008,0.9252,7.4287,0.8693,85.46,38.716
QM9_00198,OCC1CC2(O)CC12O,9,-6.226,1.883,8.1117,1.3004,72.04,35.719
QM9_00199,CC12CN(C1)C2,6,-6.1416,2.2694,8.411,1.9709,57.23,21.04
QM9_00200,O=CC(C1CO1)N1CC1,9,-6.8409,-0.8109,6.0273,3.8033,72.95,32.012
QM9_00201,CC12CC3CC(C1=O)N32,9,-6.6151,-0.7538,5.8641,2.4693,75.24,29.526
QM9_00202,COCC12OC1C1NC12,9,-5.9811,1.513,7.494,2.8478,72.42,31.351
QM9_00203,N#CC1(O)CC2OCC21,9,-7.0559,0.049,7.1049,1.6764,68.58,29.93
QM9_00204,CC1C2C(=O)CC3C2N13,9,-6.3756,-0.5415,5.8341,1.3518,74.01,29.282
QM9_00205,C#CCCC12CN(C1)C2,9,-6.2341,1.4259,7.66,1.1965,85.72,33.029
QM9_00206,OC1CC2CC3COC132,9,-6.2613,1.6925,7.9539,1.6958,74.81,30.586
QM9_00207,CC1NC(=O)N(C)C1=N,9,-6.5988,0.2313,6.8301,1.0731,74.88,33.0
QM9_00208,CCCC1(O)C(O)C1O,9,-6.1062,1.3742,7.4777,1.0756,75.01,39.148
QM9_00209,CCc1nc(O)c[nH]1,8,-5.2327,0.9742,6.2042,2.8274,67.78,28.911
QM9_00210,COC1CC(C=O)C1C,9,-6.5144,-0.4408,6.0736,3.7292,79.91,35.746
QM9_00211,O=CN(CCO)C1CC1,9,-6.3838,0.7891,7.1729,4.0352,76.88,35.087
QM9_00212,N#CC(C1CN1)C1CO1,9,-7.0886,0.4136,7.5022,2.0021,72.37,30.892
QM9_00213,O=C1NC2CC2N=CO1,9,-6.9443,-0.2612,6.6858,3.4389,67.65,27.232
QM9_00214,CC#CC1OC2CNC12,9,-6.0681,0.8354,6.9035,2.1657,81.32,31.655
QM9_00215,CC1NC2(C#N)CC12O,9,-6.1988,0.2313,6.4301,4.3141,75.9,33.041
QM9_00216,CC1C(O)C2OC12C=O,9,-7.1566,-1.2354,5.9212,1.3478,69.75,32.199
QM9_00217,CCC(C)(O)C1(C)CC1,9,-6.9688,1.8422,8.8083,1.3243,88.07,42.194
QM9_00218,N=COC(=O)C1CC1O,9,-6.9797,-0.8925,6.0872,1.1346,71.05,31.369
QM9_00219,CC1OC(=N)C1(O)C#N,9,-7.9403,-0.6694,7.2709,3.6102,67.56,31.928
QM9_00220,N#CC1OC2(CC2)C1N,9,-6.8981,0.0626,6.9607,5.3339,74.1,32.166
QM9_00221,C1COC2CC(CO1)C2,9,-6.3022,1.9511,8.2532,0.9651,77.76,31.206
QM9_00222,C#CC12N=CNC1C2O,9,-6.1743,0.2041,6.3783,4.2444,72.82,30.576
QM9_00223,Cc1cc([N+](=O)[O-])n[nH]1,9,-7.309,-1.9728,5.3362,6.9125,68.95,27.734
QM9_00224,O=C1CC(O)CC2CN12,9,-6.6178,0.098,6.7158,3.0901,72.26,30.802
QM9_00225,C#CC1C=CCC(=N)O1,9,-6.9443,-0.2476,6.694,2.9843,77.42,30.67
QM9_00226,CC1OC(C)(C)CC1O,9,-6.6505,1.864,8.5117,1.358,81.38,38.509
QM9_00227,COC(C)C1CC1C,8,-6.6641,2.1905,8.8573,1.1503,79.01,35.574
QM9_00228,c1cnc2nc[nH]c2c1,9,-6.4464,-0.9007,5.5484,5.504,76.72,23.855
QM9_00229,CCN1C2CCOCC21,9,-5.9348,2.2722,8.207,1.1458,82.14,33.283
QM9_00230,Cn1ncc(O)cc1=N,9,-5.4858,-1.181,4.3048,3.0577,78.43,30.543
QM9_00231,CCNC(=O)C(N)=NC,9,-6.3049,-0.4463,5.8586,1.5838,81.1,37.671
QM9_00232,CC1C2=CC3C4C2C1C34,9,-5.2327,-0.4,4.8327,1.3332,83.64,28.528
QM9_00233,Cc1coc(=N)c(O)n1,9,-5.8559,-1.347,4.5116,2.8393,75.1,29.673
QM9_00234,CC1(C)C2C=CCOC21,9,-6.1715,0.3755,6.5471,1.1054,84.9,34.176
QM9_00235,CC1N2CC2C1(O)CO,9,-6.1824,1.4776,7.66,2.6166,74.45,35.332
QM9_00236,CC#CCC#CC(C)=O,9,-6.8872,-1.2653,5.6219,3.2438,88.35,35.909
QM9_00237,CC(C)(O)C(=O)NC=O,9,-6.6205,-0.8544,5.7661,5.0417,70.82,36.222
QM9_00238,C#Cc1c[nH]c(O)c1,8,-5.162,0.4898,5.6518,2.1659,69.95,28.068
QM9_00239,CCC(C=O)C(C)C,8,-6.6233,-0.4762,6.1471,2.7243,78.97,36.775
QM9_00240,COCC1CC12CCO2,9,-6.1443,2.1742,8.3185,2.4309,80.75,34.429
QM9_00241,CC(O)C1CC2C(C)C12,9,-6.5743,1.9293,8.5036,1.4677,85.39,37.28
QM9_00242,OCC12C3CC1N2C3,8,-6.5062,1.9973,8.5036,1.5878,67.34,26.599
QM9_00243,C#Cc1[nH]ncc1NC,9,-5.1783,-0.2939,4.8844,2.1362,84.34,32.226
QM9_00244,O=CC1C2CC3CC1N32,9,-6.1498,-0.8163,5.3307,1.3602,74.29,27.847
QM9_00245,CC(O)C1(C(C)O)CN1,9,-6.7267,1.7306,8.4573,2.9189,77.44,39.109
QM9_00246,CC1OC(=N)C(C#N)O1,9,-7.8859,-0.3401,7.5484,4.119,66.61,29.526
QM9_00247,CCC1OC(=N)C=C1N,9,-5.7525,0.049,5.8015,5.291,82.67,34.191
QM9_00248,CC1OC2(C)C3NC3C12,9,-6.1552,2.0272,8.1825,2.8586,78.54,32.812
QM9_00249,CCC1CC(C)C(=O)N1,9,-6.4001,1.015,7.4151,3.8417,83.54,36.0
QM9_00250,O=C1CC2(CO)NC12,8,-6.7212,-0.7048,6.0164,1.6723,62.33,27.299
QM9_00251,O=COCc1cnon1,9,-8.1797,-1.649,6.5307,2.7796,61.41,26.177
QM9_00252,O=C1CC2CC12CCO,9,-6.5797,-0.2721,6.3049,2.7055,76.52,33.297
QM9_00253,CC1CCOC1C1CN1,9,-6.4192,1.9728,8.3947,2.482,81.17,33.639
QM9_00254,CC1(C#N)CC2CC21C,9,-7.2355,1.0177,8.2559,3.8506,82.84,34.773
QM9_00255,C1CC2OC3C1COC23,9,-6.509,2.1116,8.6206,1.1052,72.1,26.829
QM9_00256,NC(=[NH2+])CC(CO)=N[O-],9,-5.9185,-0.2531,5.6681,2.6051,72.63,35.155
QM9_00257,CCC12NC1CC2=O,8,-6.3729,-0.3755,6.0001,3.5213,69.02,29.073
QM9_00258,CC1CC2(C)NC2C1=O,9,-6.1579,-0.4327,5.7253,3.5743,79.25,33.669
